Store Name,Street Address,City,State,Zip
Nike Factory Store - Foley,"2601 S Mckenzie St., Suite 300",Foley,"AL,",36535-3465
Nike Well Collective - Birmingham,240 Summit Blvd Suite 100,Birmingham,"AL,",35243-3101
Nike Clearance Store - Tempe,5000 S Arizona Mills Circle STE 240,Tempe,"AZ,",85282-6420
Nike Clearance Store - Tucson,5325 S. Calle Santa Cruz,Tucson,"AZ,",85714-3963
Nike Factory Store - Glendale,6800 N 95th Ave Suite 590,Glendale,"AZ,",85305-6813
Nike Factory Store - Marana,6401 W Marana Center Blvd. STE 522,Tucson,"AZ,",85742-8545
Nike Factory Store - Phoenix,"4250 W Anthem Way., Suite 375",Phoenix,"AZ,",85086-0415
Nike Unite - Chandler,4976 Premium Outlets Way #800,Chandler,"AZ,",85226-5518
Nike Unite - Desert Ridge,21001 N Tatum Blvd #38-1330,Phoenix,"AZ,",85050-5216
Nike Unite - Tempe Marketplace,2000 E Rio Salado Pkwy #1253,Tempe,"AZ,",85281-5181
Nike Factory Store - Little Rock East,11201 Bass Pro Parkway #D-S101,Little Rock,"AR,",72210-3056
Nike Clearance Store - Alpine,"5005 Willows Rd., Suite H102",Alpine,"CA,",91901-1697
Nike Clearance Store - Sacramento,"2100 Arden Way, Suite #172",Sacramento,"CA,",95825-2217
Nike Clearance Store - San Leandro,1275 Marina Blvd,San Leandro,"CA,",94577-3322
Nike Clearance Store - Santa Clarita,"25620 The Old Road, Unit P",Valencia,"CA,",91381-1707
Nike Community Store - East LA,4585 Whittier Blvd,East Los Angeles,"CA,",90022-2432
Nike Community Store - Watts,9801 S Alameda St,Los Angeles,"CA,",90002-3158
Nike Del Amo,"21540 Hawthorne Blvd, Suite 439A",Torrance,"CA,",90503
Nike Factory Store - Barstow,"2796 Tanger Way, Suite 218",Barstow,"CA,",92311-9414
Nike Factory Store - Cabazon,"48650 Seminole Dr., Suite H234",Cabazon,"CA,",92230-2116
Nike Factory Store - Camarillo,990 Camarillo Center Dr. #030,Camarillo,"CA,",93010-7748
Nike Factory Store - Citadel,100 Citadel Dr Suite 561,Commerce,"CA,",90040-1523
Nike Factory Store - Folsom,"13000 Folsom Blvd., Suite 401",Folsom,"CA,",95630-8003
Nike Factory Store - Gilroy,"8225 Arroyo Cir., Suite 21",Gilroy,"CA,",95020-7321
Nike Factory Store - Livermore,3202 Livermore Outlets Drive,Livermore,"CA,",94551-4203
Nike Factory Store - Long Beach,71 Aquarium Way,Long Beach,"CA,",90802-8139
Nike Factory Store - Milpitas,"447 Great Mall Dr., Suite 484",Milpitas,"CA,",95035-8041
Nike Factory Store - Napa,615 Factory Stores Drive,Napa,"CA,",94558-5630
Nike Factory Store - Ontario,4557 Mills Cir.,Ontario,"CA,",91764-5220
Nike Factory Store - Orange,"20 City Blvd. W, Space A1",Orange,"CA,",92868-3102
Nike Factory Store - Petaluma,2200 Petaluma Blvd. N #100,Petaluma,"CA,",94952-1988
Nike Factory Store - Pismo Beach,"333 Five Cities Dr., Suite 142",Pismo Beach,"CA,",93449-5007
Nike Factory Store - Redlands,27641 San Bernardino Ave. #100,Redlands,"CA,",92374-5046
Nike Factory Store - San Clemente,101 W Avenida Vista Hermosa Ste 130,San Clemente,"CA,",92672-7707
Nike Factory Store - San Jose,1600 Saratoga Ave Suite #213,San Jose,"CA,",95129-5107
Nike Factory Store - San Ysidro,"4445 Camino De La Plaza, Suite 350",San Ysidro,"CA,",92173-3002
Nike Factory Store - Tejon Ranch,5701 Outlets at Tejon Pkwy. STE 300,Arvin,"CA,",93203-2458
Nike Factory Store - Torrance,2545 Pacific Coast Highway Suite A,Torrance,"CA,",90505-7035
Nike Factory Store - Tulare,"1553 Retherford St., #C080",Tulare,"CA,",93274-0000
Nike Factory Store - Vacaville,262 Nut Tree Rd.,Vacaville,"CA,",95687-3235
Nike San Francisco,278 Post Street,San Francisco,"CA,",94108-5101
Nike Santa Monica,395 Santa Monica Place #118,Santa Monica,"CA,",90401-2369
Nike The Grove,"189 The Grove Drive, Space Q-3",Los Angeles,"CA,",90036-6233
Nike Unite - Carlsbad,"5620 Paseo Del Norte, Ste C119",Carlsbad,"CA,",92008-4464
Nike Unite - Fresno,7650 N Blackstone Ave,Fresno,"CA,",93720-4300
Nike Well Collective - 4th Street,1787 Fourth St,Berkeley,"CA,",94710-1710
Nike Well Collective - El Segundo,850 S. Pacific Coast Highway,El Segundo,"CA,",90245-4836
Nike Well Collective - Fashion Valley,"7007 Friars Road, Suite 770",San Diego,"CA,",92108-1156
Nike Well Collective - Glendale,"837 Americana Way, Suite D11",Glendale,"CA,",91210-1509
Nike Well Collective - Irvine,670 Spectrum Center Dr. STE 880,Irvine,"CA,",92618-4956
Nike Well Collective - La Costa,"1905 Calle Barcelona, Suite 12",Carlsbad,"CA,",92009-8450
Nike Well Collective - Long Beach,6440 E. Pacific Coast Hwy #130,Long Beach,"CA,",90803-4268
Nike Well Collective - Pasadena,37 W. Colorado Boulevard,Pasadena,"CA,",91105-1922
Nike Well Collective - Rancho Cucamonga,"12431 S Mainstreet, Suite 1220",Rancho Cucamonga,"CA,",91739-8883
Nike Well Collective - San Ramon,6000 Bollinger Canyon Rd STE 1400,San Ramon,"CA,",94583-2307
Nike Well Collective - Santana Row,"333 Santana Row, Suite 1000",San Jose,"CA,",95128-2027
Nike Well Collective - South Coast Plaza,"3333 Bear Street, Suite 324",Costa Mesa,"CA,",92626-1791
Nike Clearance Store - Aurora,"15400 E Briarwood Circle, Suite B",Aurora,"CO,",80016-1567
Nike Factory Store - Castle Rock,5050 Factory Shops Blvd. #905,Castle Rock,"CO,",80108-1921
Nike Factory Store - Lakewood,14500 W Colfax Ave. Suite 105B,Lakewood,"CO,",80401-3203
Nike Factory Store - Northfield,"8230 E Northfield Blvd, #1370",Denver,"CO,",80238-3180
Nike Factory Store - Thornton,"13801 Grant St., #460",Thornton,"CO,",80023-0001
Nike Well Collective - Boulder,"1755 29th Street, STE 1096",Boulder,"CO,",80301-1057
Nike Well Collective - Colorado Springs,1685 Briargate Pkwy.,Colorado Springs,"CO,",80920-7691
Nike Factory Store - Clinton,20 Killingsworth Tpke. #155,Clinton,"CT,",06413-1377
Nike Factory Store - Foxwoods,455 Trolley Line Blvd. #390,Mashantucket,"CT,",06338-0000
Nike Well Collective - South Windsor,"501 Evergreen Way, STE 501",South Windsor,"CT,",06074-6964
